wavenumbers,absorbance
400.0,4.591906709069145e-14
401.0,2.191973074550173e-14
402.0,1.5660895541416656e-13
403.0,1.0103349036089359e-12
404.0,1.3591107674936248e-13
405.0,3.7527749450196594e-12
406.0,2.027910176641086e-12
407.0,3.92222010953464e-13
408.0,2.7108850450223614e-12
409.0,9.870588009259871e-12
410.0,6.654114760529048e-12
411.0,6.145001490991837e-13
412.0,1.3973721600042824e-12
413.0,6.898625975274584e-12
414.0,8.856831839377358e-12
415.0,1.0554941737577952e-11
416.0,8.228991187042344e-12
417.0,6.083192196382264e-12
418.0,1.332754096418498e-11
419.0,9.696665042578704e-11
420.0,1.6942363583546737e-11
421.0,4.7144907571496735e-12
422.0,1.0666670390902444e-11
423.0,2.5252006554316303e-11
424.0,9.37086670099395e-12
425.0,4.1279797342772793e-11
426.0,6.30910345463634e-10
427.0,2.9079673253138958e-11
428.0,4.423541080379272e-11
429.0,1.8522604288041394e-11
430.0,5.43284585519618e-11
431.0,1.8411911382561294e-11
432.0,1.464877309843083e-10
433.0,1.1583049622368107e-10
434.0,5.935805282482473e-11
435.0,2.534492618087365e-10
436.0,3.359630994127694e-11
437.0,1.0675742208123793e-08
438.0,1.5236827142575434e-10
439.0,7.732245737358611e-10
440.0,1.527472074625314e-10
441.0,5.718242569094256e-10
442.0,6.187224303888485e-10
443.0,3.4098272740151546e-10
444.0,7.525748728969389e-10
445.0,1.8617657577886271e-09
446.0,7.350321887061098e-10
447.0,5.629075967546925e-10
448.0,5.298646974692604e-10
449.0,1.0979017681185518e-09
450.0,8.615749322614174e-10
451.0,6.683233825565184e-10
452.0,1.200732754122865e-09
453.0,1.996743433179951e-09
454.0,4.547702616045394e-09
455.0,6.057479045584532e-10
456.0,9.200559858112655e-10
457.0,2.060997590029217e-09
458.0,5.165360554277435e-10
459.0,1.8966372311188856e-08
460.0,8.865651749280942e-10
461.0,6.561301326962838e-09
462.0,2.2197755900762218e-09
463.0,6.601986258051236e-09
464.0,4.0743676312871615e-09
465.0,1.4183388748575726e-07
466.0,4.039076365197181e-09
467.0,1.083683144206813e-08
468.0,2.0778183369157787e-09
469.0,8.743520208960298e-09
470.0,2.0830550787720736e-09
471.0,1.546697535746341e-08
472.0,1.7590238417959075e-09
473.0,7.857233145137948e-09
474.0,6.779541390969785e-09
475.0,1.7605101259667485e-09
476.0,1.4373708914425469e-08
477.0,1.92492592943152e-09
478.0,6.707731801749068e-08
479.0,2.2738219668472654e-09
480.0,1.848573330788129e-08
481.0,5.6289545224754525e-09
482.0,5.603712325660456e-09
483.0,4.2972781796149676e-08
484.0,1.840345212339953e-09
485.0,3.1515092679868716e-08
486.0,1.8260068681440624e-09
487.0,1.6519446098453416e-08
488.0,7.148935029468605e-09
489.0,3.823816308502379e-09
490.0,3.5646895035280203e-09
491.0,2.355841614244883e-08
492.0,3.4807489821103405e-08
493.0,3.928993318218095e-09
494.0,9.28546845947045e-09
495.0,2.7721276376571862e-08
496.0,1.451706736461793e-08
497.0,1.2322389418955513e-07
498.0,1.0217744388288358e-07
499.0,1.9101849898762298e-07
500.0,1.8360871197675255e-07
501.0,2.0897934514458857e-07
502.0,5.723699536123883e-08
503.0,1.3331656834721875e-08
504.0,7.484163916618486e-09
505.0,4.125880764488459e-09
506.0,1.129457166202479e-08
507.0,2.2810100432925067e-08
508.0,3.0528231685989165e-08
509.0,4.3049201209225276e-08
510.0,8.530688592540747e-09
511.0,1.3797120271211542e-08
512.0,3.222302598122533e-08
513.0,5.6350064607696316e-08
514.0,8.428994850892727e-08
515.0,5.098669439836992e-09
516.0,1.643557230043641e-08
517.0,1.0223337491683235e-08
518.0,9.386430557278023e-08
519.0,6.179042055324512e-09
520.0,8.623660262035792e-09
521.0,1.097616891761018e-08
522.0,3.3670246354533875e-09
523.0,6.539390936377365e-08
524.0,7.708250400949157e-09
525.0,1.5983889942804405e-08
526.0,1.013195079900036e-08
527.0,1.1055545760821564e-08
528.0,1.9802103905427012e-08
529.0,4.3605026508148345e-09
530.0,2.253140533249907e-08
531.0,6.459946185880938e-09
532.0,1.6385994524104296e-08
533.0,1.4705065952408036e-08
534.0,4.7065361270925976e-09
535.0,6.616993217965425e-09
536.0,6.835641819031805e-09
537.0,9.52591068507853e-09
538.0,3.528975161396117e-08
539.0,1.0819529202423491e-08
540.0,1.5750010258961385e-09
541.0,6.9925548206522826e-09
542.0,3.302171020581574e-09
543.0,9.616706786479677e-08
544.0,1.462547890847819e-08
545.0,2.0838515220459164e-09
546.0,2.9259703401478367e-08
547.0,9.731963038814108e-10
548.0,6.687394543801705e-09
549.0,2.9431388713986805e-09
550.0,1.336436719531778e-09
551.0,2.4696056854359855e-08
552.0,4.124961505716501e-09
553.0,5.122165944370135e-09
554.0,4.254598040825538e-09
555.0,1.0376998573682386e-08
556.0,3.2511914314361905e-09
557.0,1.0090809208414668e-09
558.0,2.1018406592071473e-09
559.0,6.815328305078534e-08
560.0,6.392217097725437e-10
561.0,2.0784142165017012e-09
562.0,9.881475506264347e-09
563.0,2.915787474771973e-09
564.0,5.301104616789586e-09
565.0,1.3332751602953925e-09
566.0,2.226955195482296e-09
567.0,1.3708487226629936e-09
568.0,4.827624496652413e-10
569.0,4.2050134637668397e-10
570.0,9.80358051660133e-09
