wavenumbers,absorbance
400.0,0.00013759772290711263
401.0,1.208379319783407e-05
402.0,6.505008363540888e-06
403.0,8.488874080608803e-05
404.0,3.0871603252508863e-06
405.0,5.013362316621527e-05
406.0,8.232421893286231e-05
407.0,3.159047371965794e-05
408.0,7.5600077677253765e-06
409.0,1.0872583392235147e-05
410.0,5.469300842406206e-05
411.0,1.4228034431599558e-05
412.0,5.474455292844002e-06
413.0,7.715571882163911e-05
414.0,3.4971210333674754e-05
415.0,9.443521634802366e-05
416.0,0.0006679028437459392
417.0,7.374648811596454e-05
418.0,1.9966396250962515e-05
419.0,1.2405274884920026e-05
420.0,2.76377136997753e-05
421.0,0.0002174012065463192
422.0,2.621500719385172e-06
423.0,7.883452187121212e-06
424.0,1.1674752715880721e-05
425.0,1.575876814725132e-05
426.0,0.00024451684014013017
427.0,6.129300379138201e-06
428.0,3.9954896447134646e-06
429.0,3.498284215551627e-05
430.0,2.5782775783067186e-05
431.0,6.801980488057925e-06
432.0,2.7774922607545712e-05
433.0,0.00023921672747003364
434.0,0.0006007782054514285
435.0,2.0509243045833696e-05
436.0,1.7772022589958718e-05
437.0,7.49810946055869e-05
438.0,5.016981547729665e-06
439.0,5.449498495438012e-05
440.0,1.9019730647035077e-05
441.0,4.038475395646016e-05
442.0,2.797151510404802e-06
443.0,5.0281460010619144e-05
444.0,2.4682453290872346e-06
445.0,5.208730288621515e-06
446.0,2.459559221954965e-05
447.0,1.093166136639679e-05
448.0,1.0157970599074633e-05
449.0,4.301619296062037e-06
450.0,2.4667062190211507e-05
451.0,6.320391381831073e-05
452.0,0.00016333497478228024
453.0,2.466153868106127e-05
454.0,6.5521859091518435e-06
455.0,1.2236795269064033e-05
456.0,2.5097959396858196e-05
457.0,6.084102113555035e-07
458.0,2.465974602275819e-05
459.0,2.1827513666617954e-06
460.0,2.7556642911630957e-06
461.0,0.0003783430513459493
462.0,4.566489803748186e-06
463.0,2.1951816907924353e-05
464.0,1.8342075024356805e-05
465.0,1.8756476328889025e-06
466.0,6.6376805001343e-06
467.0,5.424992776499177e-06
468.0,4.196533050205353e-05
469.0,0.00012287664243148706
470.0,1.4242992263449483e-05
471.0,1.7306694699143995e-05
472.0,1.1606094732411855e-05
473.0,2.3367904714575295e-05
474.0,9.447672087043846e-05
475.0,1.819765514436198e-05
476.0,4.1026616058146774e-05
477.0,6.299754162226697e-05
478.0,6.896564734628119e-07
479.0,3.4501668231490897e-06
480.0,1.6640445481835753e-05
481.0,4.510922602098996e-06
482.0,0.0002582346148700093
483.0,5.3097637879401545e-06
484.0,4.055266936186368e-06
485.0,1.1657670973318753e-05
486.0,3.845576189472859e-05
487.0,2.4176763934376258e-05
488.0,9.974651602826095e-06
489.0,1.3857868115918372e-06
490.0,1.2239174229363036e-05
491.0,3.8899117244600464e-05
492.0,1.6089253453050808e-05
493.0,4.195070926082817e-05
494.0,2.098892253443317e-05
495.0,9.937595559425872e-06
496.0,6.604741193618902e-06
497.0,6.523282650067016e-07
498.0,9.434282703726768e-05
499.0,1.4296834516404546e-05
500.0,9.702184648394388e-07
501.0,4.022834641267096e-05
502.0,1.9205439866122225e-06
503.0,2.2304435557431854e-06
504.0,0.00013503714561029055
505.0,3.1601518009799742e-06
506.0,1.530976472331278e-05
507.0,4.555761822606832e-06
508.0,3.6803028908390316e-05
509.0,1.0334290694544623e-05
510.0,8.976690885108624e-06
511.0,2.965411308113869e-05
512.0,1.0569683160037729e-05
513.0,8.861623122476556e-06
514.0,3.258222576523638e-05
515.0,5.177379658015104e-06
516.0,6.18651761368079e-06
517.0,0.0003207272253630827
518.0,1.3768003760550608e-05
519.0,5.0729155464737544e-06
520.0,3.182385355726672e-05
521.0,4.7643155821826475e-05
522.0,6.165145926208198e-06
523.0,3.2531815881886636e-06
524.0,9.369910052168713e-07
525.0,1.301960453759708e-05
526.0,2.298496153191511e-05
527.0,2.825658157746534e-06
528.0,5.3842157896046997e-05
529.0,7.389437762413056e-06
530.0,6.434604150100254e-05
531.0,0.00035791166843286037
532.0,9.776364794517167e-06
533.0,2.4336323987843664e-06
534.0,4.963757870836548e-06
535.0,2.76980630093267e-06
536.0,1.4775234499043754e-05
537.0,1.3313113383950616e-05
538.0,1.799661686050235e-05
539.0,1.2428951509952827e-05
540.0,2.3718537676681453e-06
541.0,7.521856786252114e-06
542.0,8.504039666385296e-06
543.0,1.985869184422144e-05
544.0,3.3455821185016522e-06
545.0,1.379060194064072e-06
546.0,1.9057680010690417e-05
547.0,2.2943374233415797e-06
548.0,2.450132641056907e-05
549.0,3.9504833926387695e-05
550.0,6.999756664737332e-05
551.0,0.000102188246453181
552.0,3.1083824798945235e-05
553.0,7.219782141814686e-06
554.0,3.8512902699489615e-06
555.0,2.2105687529852094e-05
556.0,1.488350098051398e-05
557.0,3.85061655410181e-06
558.0,1.7938514097622437e-05
559.0,2.7349507551073688e-05
560.0,2.4912626607843667e-05
561.0,3.890509231613212e-06
562.0,8.215736424993555e-05
563.0,3.781701360268303e-05
564.0,1.942438517005375e-05
565.0,1.2599519968431746e-05
566.0,4.4154303485663776e-05
567.0,7.522724460801822e-05
568.0,1.1309751765237524e-05
569.0,7.22339666695187e-05
570.0,2.994389728651847e-06
571.0,2.1140478631499822e-05
572.0,8.872332577979878e-06
573.0,6.4631361395553494e-06
574.0,2.85231225026013e-06
575.0,2.9085389013489306e-05
576.0,2.218620667343016e-06
577.0,1.703501487595017e-05
578.0,2.0751527095398276e-06
579.0,5.0988352903888445e-05
580.0,4.144665786495385e-05
581.0,3.716596540776774e-06
582.0,1.1738501242676953e-05
583.0,4.034490364200152e-05
584.0,1.0024358750508698e-05
585.0,9.135308011361208e-06
586.0,1.8311054855021368e-05
587.0,4.846935919545066e-06
588.0,1.554076941356119e-06
589.0,1.2248492053621586e-05
590.0,6.074738380151931e-05
591.0,1.1278666310044169e-06
592.0,3.9556108679894e-06
593.0,1.145344931579211e-05
594.0,5.693056867314892e-05
595.0,1.4790443219829206e-06
596.0,2.7888198578443777e-06
597.0,2.943722014459487e-05
598.0,3.849583062960026e-06
599.0,3.170240707264079e-06
600.0,6.9358962074674075e-06
601.0,7.5277980743099e-05
602.0,1.728203099186884e-05
603.0,0.0001309590442584685
604.0,1.1470697486371536e-06
605.0,3.7869062840148347e-07
606.0,4.299221164267052e-05
607.0,9.427528271829621e-07
608.0,2.1294353360551086e-06
609.0,2.088498117434386e-06
610.0,8.224838812210885e-07
611.0,3.9482925496250145e-05
612.0,9.679246424200774e-06
613.0,9.092170301902433e-06
614.0,1.2031455461148636e-06
615.0,9.221205429034774e-07
616.0,2.819445670255109e-05
617.0,1.7385296765712235e-05
618.0,3.579173562462365e-05
619.0,7.993196587749461e-06
620.0,8.401668281203146e-05
621.0,5.7166250828958936e-05
622.0,2.3083808844333555e-06
623.0,3.1109240552829224e-06
624.0,8.413575266481908e-07
625.0,6.527854793564818e-06
626.0,1.0902593065462483e-06
627.0,4.826024440746081e-06
628.0,4.4558174328355926e-05
629.0,1.093249606654194e-06
630.0,6.759794572161484e-05
631.0,1.812696750669034e-06
632.0,7.470424012174558e-06
633.0,4.399958915898196e-05
634.0,1.1541405823861027e-06
635.0,1.589498199917519e-05
636.0,3.768793996325813e-06
637.0,9.51014145838183e-06
638.0,5.8698181679842014e-05
639.0,1.7799169593866366e-05
640.0,2.648950124639662e-05
641.0,3.496848493347697e-06
642.0,7.570042480098576e-07
643.0,7.420127578790372e-06
644.0,7.694698761289851e-07
645.0,8.892633457954794e-07
646.0,8.578438382174475e-05
647.0,9.55509867468761e-06
648.0,7.841392035704569e-07
649.0,1.8147410460827094e-06
650.0,1.5187786280390223e-06
651.0,7.440240376563661e-06
652.0,8.927026740248597e-06
653.0,9.759215174390045e-07
654.0,3.913350709268083e-06
655.0,5.615951864664105e-05
656.0,2.8849746183373024e-06
657.0,7.935715531962026e-06
658.0,7.421932622819623e-06
659.0,6.032670948266046e-06
660.0,1.978262123705963e-05
661.0,5.538835464179532e-07
662.0,3.925332730121018e-06
663.0,4.135776629352102e-06
664.0,1.3866483532227974e-05
665.0,6.964918199197609e-06
666.0,4.363674727365133e-06
667.0,5.260256712875229e-07
668.0,1.364503803179081e-06
669.0,2.8709127596530473e-06
670.0,8.333323801991131e-07
671.0,3.1692366052548783e-06
672.0,7.953518532071662e-06
673.0,1.2498273310626285e-05
674.0,1.0141584929819561e-05
675.0,1.2622113028405132e-06
676.0,9.582050593643806e-06
677.0,1.748428545302437e-07
678.0,1.733255780302013e-06
679.0,2.4105720704257903e-06
680.0,1.4297401246286492e-05
681.0,7.705727018541042e-07
682.0,3.373602868014657e-07
683.0,5.126634671444044e-07
684.0,1.3101519910521596e-05
685.0,2.059220753749051e-05
686.0,6.126124628165316e-07
687.0,7.539485879804834e-07
688.0,9.935015418024581e-06
689.0,6.166461951152108e-06
690.0,3.749895066675419e-06
691.0,8.502945945485172e-06
692.0,5.859245888906875e-06
693.0,1.9543541085080324e-06
694.0,3.33837805548899e-06
695.0,1.3102333549054247e-06
696.0,5.166373174881233e-07
697.0,4.2451262287284677e-07
698.0,3.842430159503645e-05
699.0,1.3876267771749961e-05
700.0,1.5944772768560275e-06
701.0,6.292197289056533e-07
702.0,1.133227510077679e-07
703.0,7.72141629720127e-07
704.0,1.062325405703014e-05
705.0,6.520712191561247e-07
706.0,6.507686741381841e-06
707.0,3.3035584296184435e-07
708.0,8.753722173185726e-07
709.0,9.759915755220038e-06
710.0,2.420301189610541e-05
711.0,3.109466286183452e-07
712.0,2.536660412537773e-07
713.0,2.13840144031841e-06
714.0,1.7695456112065004e-06
715.0,3.6166292916277454e-07
716.0,5.569998257826552e-07
717.0,8.156805182032896e-07
718.0,1.402843853448868e-06
719.0,8.4284318327705e-07
720.0,3.484585421308484e-07
721.0,5.272325691140804e-07
722.0,2.7865781484372097e-06
723.0,9.83002532693758e-07
724.0,1.973220848463526e-07
725.0,4.139835151401552e-06
726.0,4.578080293316061e-06
727.0,4.337009615359972e-06
728.0,7.521901526038909e-06
729.0,3.5059676135417595e-07
730.0,2.4164827241496085e-06
731.0,2.0819060903439748e-07
732.0,4.778468119430015e-07
733.0,2.82160522033646e-06
