wavenumbers,absorbance
400.0,2.271891221571421e-10
401.0,1.2342038414522445e-07
402.0,7.01009519648455e-08
403.0,1.2806529322698388e-09
404.0,8.119253031259074e-08
405.0,2.502178637998456e-09
406.0,9.065202927063285e-08
407.0,3.922947777860901e-08
408.0,7.07874071868692e-08
409.0,1.9992134774919098e-07
410.0,3.6643608149645843e-10
411.0,1.842336781612343e-08
412.0,3.7984658692810375e-10
413.0,2.0136893592479654e-09
414.0,6.893433306062719e-06
415.0,1.2273923018085047e-10
416.0,1.0278972141747531e-11
417.0,5.735838441830305e-11
418.0,7.460356814197176e-07
419.0,1.2421494466558179e-09
420.0,1.563282036365615e-10
421.0,1.1159199098486533e-09
422.0,5.377078838025767e-09
423.0,3.613185415886869e-10
424.0,9.665524885052236e-07
425.0,1.2850337287244348e-07
426.0,3.1143819781622163e-10
427.0,2.3445651992009407e-09
428.0,2.837748361005832e-09
429.0,6.729558435165388e-10
430.0,2.686705336558301e-09
431.0,8.110042478469747e-09
432.0,6.948693490191984e-08
433.0,2.3423603461433213e-10
434.0,2.2534803142265107e-09
435.0,7.3145994747282925e-09
436.0,3.206357946117686e-09
437.0,9.819670245557466e-11
438.0,7.893745157653413e-12
439.0,1.4231208432997818e-08
440.0,5.667918993863978e-07
441.0,2.3376752624160766e-08
442.0,5.490847884963893e-08
443.0,1.8890385767419986e-07
444.0,3.0733148136404923e-09
445.0,1.4874286362468302e-07
446.0,1.900971841094741e-08
447.0,2.388730801865812e-08
448.0,4.9979217062405695e-08
449.0,2.528794650473281e-09
450.0,2.844508906702424e-08
451.0,6.07176234472324e-09
452.0,1.00620151136175e-11
453.0,4.6803352603170566e-08
454.0,8.219143433749052e-08
455.0,6.039676734391831e-12
456.0,6.015563556060541e-09
457.0,1.582080191531994e-08
458.0,1.4409072957631096e-07
459.0,2.7252059555439373e-10
460.0,1.0950088584130885e-07
461.0,1.4929941618458777e-08
462.0,1.1879066098305818e-08
463.0,2.3396022728782827e-08
464.0,1.8215408636619346e-10
465.0,3.014713852710199e-08
466.0,2.2220651308563894e-08
467.0,5.969504008998092e-10
468.0,9.706140502212412e-11
469.0,2.2353363806606156e-07
470.0,1.0209197919571301e-09
471.0,3.658446950122621e-07
472.0,9.397581617575859e-09
473.0,1.577052933355051e-08
474.0,5.765634098957115e-09
475.0,2.9876633527408445e-06
476.0,9.17011474652028e-14
477.0,1.1538259456787393e-07
478.0,1.5533573554157652e-11
479.0,2.1727439661657223e-08
480.0,1.4244815921268516e-09
481.0,6.014108679419809e-09
482.0,3.2442080045389484e-08
483.0,5.756978610858044e-10
484.0,1.689843344848809e-09
