wavenumbers,absorbance
400.0,2.1074721651478866e-09
401.0,1.4276368145637288e-07
402.0,1.568783396302895e-07
403.0,7.526240704868709e-09
404.0,1.7545399939620988e-07
405.0,1.4375859494534535e-08
406.0,2.0448027862687523e-07
407.0,3.972272034939007e-08
408.0,8.069035126888529e-09
409.0,3.569015943963394e-08
410.0,9.36819572669502e-09
411.0,6.398556223977488e-08
412.0,1.3859442087814333e-08
413.0,6.785919004571941e-09
414.0,1.0635838552798212e-06
415.0,1.9172188126164207e-09
416.0,1.4292120933942464e-09
417.0,8.039127425231308e-09
418.0,1.0127424966646046e-06
419.0,1.1034013172751543e-08
420.0,2.2049029927423804e-09
421.0,2.748903314931413e-09
422.0,7.680969781960155e-09
423.0,8.119514403440107e-09
424.0,4.164586916924246e-07
425.0,2.8029360725269495e-07
426.0,9.177652403474841e-09
427.0,9.420539311062203e-09
428.0,5.33360007007401e-09
429.0,8.7375804300198e-09
430.0,1.4154092080106303e-08
431.0,2.0155535374874005e-08
432.0,1.2846765184091638e-07
433.0,5.111108153243396e-09
434.0,7.407258294927591e-09
435.0,1.9353629524555917e-08
436.0,9.752457573546237e-09
437.0,1.7322787794920723e-09
438.0,7.476990038464773e-09
439.0,3.975684298006364e-08
440.0,3.3680770587734857e-07
441.0,6.005418734333711e-08
442.0,6.494827836957451e-08
443.0,1.0628415158069645e-07
444.0,8.769505822595717e-09
445.0,2.1846045179170484e-07
446.0,4.895839112813425e-08
447.0,5.8699806278423906e-08
448.0,2.2437231045246745e-08
449.0,6.594728212311426e-09
450.0,3.3702250042390015e-08
451.0,1.4760755767453031e-08
452.0,5.686432738801128e-09
453.0,9.115050738470442e-08
454.0,1.9162416621658737e-07
455.0,5.444202533247965e-09
456.0,2.0410089077218744e-08
457.0,1.634133397160167e-08
458.0,1.1981897506276573e-07
459.0,4.197912942279641e-09
460.0,1.7481982830111263e-07
461.0,1.6828015858344124e-08
462.0,3.250100833396781e-08
463.0,5.847097180967825e-08
464.0,1.612856073448054e-08
465.0,6.364690494326616e-08
466.0,5.8969658686545524e-08
467.0,1.675929075403886e-08
468.0,1.6634022941048223e-08
469.0,5.064352577617983e-07
470.0,1.5031246198847092e-08
471.0,6.851873424290826e-07
472.0,9.591827310317029e-09
473.0,2.3256978975240116e-08
474.0,2.405567500662976e-08
475.0,2.1303125897252474e-06
476.0,9.682620219040614e-09
477.0,2.3916414168912877e-07
478.0,5.51067419237782e-09
479.0,5.5765637178746615e-08
480.0,3.439484238908608e-08
481.0,3.0250677852579005e-08
482.0,6.176180585206518e-08
483.0,4.192866655378924e-09
484.0,2.0486589150827787e-08
485.0,5.108584475155087e-06
486.0,5.888867572375089e-08
487.0,2.678861112901012e-08
488.0,1.3886331654674844e-07
489.0,2.894942162225317e-08
490.0,7.055518823005086e-08
491.0,2.5780749341296235e-07
492.0,3.013660289021665e-08
493.0,1.863316051257291e-09
494.0,8.643691638999024e-09
495.0,5.7768806757427314e-08
496.0,5.252191751481292e-08
497.0,5.6853601568649125e-09
498.0,7.577693009118935e-09
499.0,7.705458364706307e-08
500.0,3.8217355526671846e-07
501.0,1.3940560296391654e-07
502.0,1.1672318792126249e-07
503.0,2.033060307829344e-06
504.0,2.3736666354219155e-08
505.0,1.130035690565902e-06
506.0,2.1361317624762178e-08
507.0,1.155359696545992e-06
508.0,2.9233667853912362e-08
509.0,6.058906941148347e-08
510.0,1.7493226995449294e-07
511.0,7.201154181569617e-08
512.0,7.447849782359845e-08
513.0,1.0122473158611345e-08
514.0,7.344402431857501e-08
515.0,2.2343490183419243e-07
516.0,1.2828660392185031e-07
517.0,3.784074169170548e-08
518.0,2.6082835304904405e-07
519.0,7.55474529072694e-08
520.0,3.629777403168072e-07
521.0,2.543309781920262e-06
522.0,4.122943190355609e-08
523.0,4.047281333146591e-09
524.0,1.647059420175667e-08
525.0,7.838772231040876e-08
526.0,8.421479283429397e-09
527.0,1.16209269328673e-08
528.0,1.2091525251359563e-07
529.0,6.415920682036977e-08
530.0,1.2302089885702495e-07
531.0,7.70350081967776e-08
532.0,1.6209214662591407e-05
533.0,7.640224028697568e-08
534.0,1.2930489801598564e-07
535.0,4.985309146472012e-07
536.0,1.8096106837646634e-07
537.0,1.3437835731451216e-07
538.0,5.473525381104585e-08
539.0,2.422883464328623e-09
540.0,6.797004380548524e-10
541.0,7.717023764871822e-10
542.0,1.838828452884555e-08
543.0,2.5594972524218654e-07
544.0,1.3706052057529138e-08
545.0,6.202106717401983e-09
546.0,1.4538666194506771e-09
547.0,1.993180975186178e-08
548.0,4.239881019031628e-08
549.0,5.927569346931303e-07
550.0,1.4584664562630456e-07
551.0,7.658622518797005e-08
552.0,3.521516370041886e-06
553.0,2.853805140342869e-07
554.0,7.633086192645369e-06
555.0,3.84945873418596e-07
556.0,1.3418399550863353e-07
557.0,3.0669235347729683e-07
558.0,3.6853075642782297e-09
559.0,4.920745165516464e-08
560.0,2.1800325073563335e-07
561.0,7.708108830042707e-09
562.0,3.681598817811515e-08
563.0,6.930830314191102e-09
564.0,4.414443867942161e-09
565.0,7.727636653781259e-10
566.0,2.3247224401230447e-09
567.0,9.800834732096559e-08
568.0,3.250962989858076e-08
569.0,1.2113787125654922e-07
570.0,1.1477733738872851e-06
571.0,4.5117694758822e-07
572.0,3.4635202560422626e-07
573.0,2.724627553964287e-08
574.0,2.715669140605969e-09
575.0,5.678536634793999e-09
576.0,3.1693400552378823e-09
577.0,6.182317239538725e-09
578.0,7.52170298572584e-09
579.0,3.4802085378960467e-09
580.0,1.2928551888818043e-09
581.0,3.170957182300011e-08
582.0,5.085062293356441e-09
583.0,3.532886971816402e-08
584.0,2.6602719959387134e-09
585.0,1.2771991160388714e-07
586.0,5.336841064424906e-08
587.0,3.5826486550077128e-09
588.0,4.3205144132530105e-08
589.0,1.3130252089761548e-07
590.0,4.453809801016874e-06
591.0,3.9138574613115695e-07
592.0,8.516029311323172e-08
593.0,5.8802024903582905e-09
594.0,1.5290456420605575e-08
595.0,6.385280170479634e-08
596.0,7.150632913083249e-09
597.0,5.921980421058991e-09
598.0,1.1562074879612349e-07
599.0,1.974884063215171e-08
600.0,8.564780435770543e-09
601.0,6.655986609106782e-09
602.0,1.3667516825772551e-08
603.0,1.1792193512665016e-06
604.0,3.192395351381639e-08
605.0,8.459473346539946e-08
606.0,1.195666115892256e-08
607.0,9.458984576441008e-08
608.0,4.780719809707975e-08
609.0,2.990916244123506e-08
610.0,1.6992393129783537e-08
611.0,1.9826099265175424e-07
612.0,8.376914902310814e-08
613.0,2.7828966365463416e-07
614.0,1.1829137226045679e-07
615.0,2.8479075930289894e-05
616.0,1.1508710155810319e-07
617.0,7.587051658579099e-06
618.0,1.591262694125928e-06
619.0,2.386901498349141e-07
620.0,1.7330053800627343e-07
621.0,1.7152620403618142e-05
622.0,2.7042453685254983e-07
623.0,1.1624337546540637e-06
624.0,1.62842873124791e-06
625.0,7.688219471273818e-07
626.0,1.621082588911806e-06
627.0,6.4008773279426854e-06
628.0,3.556659325429248e-06
629.0,9.958365980772452e-06
630.0,3.364391726549403e-06
631.0,5.231485555563596e-06
632.0,6.641501967086538e-07
633.0,9.91539647324274e-07
634.0,9.015624031430467e-07
635.0,1.827693234857832e-06
636.0,2.522788548295831e-07
637.0,5.70307156569599e-06
638.0,2.395481174806338e-07
639.0,4.388282863685977e-07
640.0,1.8357984877725779e-06
641.0,2.3529915207683532e-06
642.0,4.897089904825802e-06
643.0,4.594038323530621e-07
644.0,7.568562128776184e-08
645.0,9.046092186551234e-08
646.0,3.9635016649614895e-08
647.0,1.8238024970112467e-07
648.0,3.340163160571718e-07
649.0,2.224222898219883e-07
650.0,1.2976391284392877e-06
651.0,6.45120739865118e-07
652.0,5.2318841789678036e-08
653.0,1.9509685217156762e-07
654.0,1.520608043132034e-07
655.0,6.149641454231584e-08
656.0,1.4259610586117972e-07
657.0,2.4270932417234814e-07
658.0,1.1675369470257159e-07
659.0,1.4817485870157365e-07
660.0,4.168922438198818e-08
661.0,3.7626727562920803e-07
662.0,2.113848885626892e-08
663.0,1.2952865566336459e-07
664.0,7.273292317482043e-08
665.0,2.1237448477926608e-07
666.0,1.844438126635682e-07
667.0,1.0269408077244379e-07
668.0,4.706785655650551e-08
669.0,3.917174183244676e-07
670.0,2.416557363706675e-06
671.0,6.040559073101287e-07
672.0,1.1885341281956541e-07
673.0,2.281996504532612e-08
674.0,1.7738400392160256e-07
675.0,4.726743018083841e-07
676.0,4.768341666979416e-08
677.0,3.805918552008785e-07
678.0,9.86810395651846e-08
679.0,1.5531148132164597e-07
680.0,2.1211795473575522e-07
681.0,2.2348934940061677e-07
682.0,2.0629527143113928e-07
683.0,8.94207444237051e-08
684.0,1.5712820783289733e-07
685.0,1.1359952049239363e-06
686.0,1.0036138683220122e-07
687.0,8.659937914710127e-08
688.0,1.3861925195743127e-07
689.0,3.684496085478051e-07
690.0,2.1390129135024133e-06
691.0,1.0899131729348218e-05
692.0,3.812477287705149e-06
693.0,5.599410314964173e-07
694.0,2.2928454675862698e-07
695.0,3.810875362865088e-08
696.0,2.8554577125215226e-07
697.0,2.672796933801379e-08
698.0,7.043341079732659e-08
699.0,2.8672488317358997e-07
700.0,3.917667027655989e-07
701.0,7.356243073681069e-06
702.0,1.6135255263077315e-06
703.0,3.942581196658875e-06
704.0,1.481871522477356e-07
705.0,1.558706545568385e-07
706.0,1.5931117455729518e-07
707.0,1.4638804665798429e-05
708.0,2.3135639135874764e-07
709.0,2.1401589862018254e-06
710.0,1.965902744255675e-06
711.0,6.108701975829098e-06
712.0,4.091778136217492e-06
713.0,3.033709363128065e-07
714.0,4.1289455659855066e-05
715.0,1.1469075738960073e-07
